brand,model,year,mileage,engine_capacity,transmission,body_type,fuel_type,color,doors,price_usd
Nissan,Almera,2003,33085,2.4,CVT,SUV,Electric,Silver,4,44478.27
Honda,Accord,2012,298162,4.0,Automatic,Wagon,Hybrid,Red,3,38592.24
Honda,Civic,2017,251842,1.4,Automatic,Hatchback,Hybrid,Silver,2,32356.87
Ford,Focus,2023,28481,1.5,Automatic,Sedan,Electric,Red,4,49961.33
Audi,Q7,2009,290696,2.7,Manual,SUV,Petrol,Brown,3,34481.51
Hyundai,Santa Fe,2021,80674,5.0,Robot,Wagon,Petrol,Brown,2,56073.88
Mercedes,E-Class,2013,99468,2.7,Automatic,Sedan,Electric,Brown,2,54874.78
Kia,Rio,2019,41025,1.5,Robot,SUV,Hybrid,Black,3,49885.74
Ford,Kuga,2002,224699,2.5,Robot,Coupe,Electric,Green,4,34089.36
Nissan,Almera,2007,249717,3.5,CVT,SUV,Electric,Blue,3,49495.51
Ford,Focus,2023,26505,2.5,Robot,Hatchback,Hybrid,Brown,4,55149.63
Honda,Accord,2008,43539,2.4,Automatic,Hatchback,Electric,White,5,37740.95
Ford,Kuga,2016,113034,1.8,Manual,SUV,Diesel,Red,3,44190.09
Kia,Sportage,2016,157255,1.6,Manual,Wagon,Petrol,Red,3,34503.39
Audi,Q5,2017,201893,1.8,Manual,Coupe,Diesel,Silver,4,35829.84
Honda,CR-V,2000,288783,1.8,Automatic,SUV,Diesel,Grey,3,20377.14
Kia,Sorento,2004,85366,3.0,Manual,Coupe,Electric,Brown,2,40099.56
Volkswagen,Golf,2022,105185,1.6,CVT,Hatchback,Electric,Green,4,47395.44
Kia,Sorento,2021,299644,2.5,CVT,Wagon,Diesel,Silver,5,38496.87
Toyota,Camry,2010,253478,5.0,Automatic,Hatchback,Hybrid,Grey,4,39341.76
Honda,CR-V,2000,287166,1.4,CVT,Wagon,Hybrid,White,2,22312.59
BMW,5 Series,2017,127101,3.0,Manual,Hatchback,Petrol,White,3,52956.41
Honda,Accord,2009,101489,3.0,Robot,Coupe,Petrol,Green,3,40941.57
Audi,A4,2005,198910,3.0,Automatic,Coupe,Diesel,Green,4,35889.8
Toyota,Land Cruiser,2004,188674,1.5,CVT,Coupe,Electric,Brown,4,33910.69
Volkswagen,Passat,2005,169176,2.7,Robot,Sedan,Petrol,Green,5,28360.84
Volkswagen,Golf,2007,291829,5.0,Manual,Wagon,Electric,Black,3,33946.27
Kia,Sportage,2009,161564,1.8,Robot,Wagon,Electric,Blue,3,32319.27
Audi,A6,2006,128406,2.4,Robot,Coupe,Electric,Red,5,44125.24
Audi,A4,2008,3320,5.0,CVT,Coupe,Diesel,Blue,4,55905.09
Toyota,RAV4,2007,222428,1.6,Automatic,Hatchback,Electric,White,4,27066.94
Kia,Rio,2000,81494,2.5,Automatic,Wagon,Petrol,Red,2,30940.5
BMW,5 Series,2005,164404,1.2,Automatic,Hatchback,Diesel,Green,3,28396.81
Toyota,Corolla,2016,227444,1.5,Manual,Sedan,Hybrid,Silver,3,37970.67
Ford,Kuga,2023,136149,3.0,Manual,Hatchback,Petrol,White,5,45526.81
Mercedes,GLE,2007,34831,2.7,Manual,SUV,Diesel,Green,5,47664.11
Kia,Cerato,2010,223936,5.0,Automatic,SUV,Electric,Silver,2,47054.08
Honda,Accord,2006,41256,2.5,Automatic,SUV,Hybrid,Silver,5,44505.76
Ford,Focus,2000,147631,5.0,Automatic,Sedan,Hybrid,Green,5,36248.43
Mercedes,GLE,2012,281787,2.2,CVT,Wagon,Petrol,Green,2,37446.03
Nissan,X-Trail,2000,191812,1.4,Automatic,SUV,Petrol,Grey,2,23049.68
Volkswagen,Passat,2020,177763,3.0,CVT,Coupe,Diesel,Black,2,37723.4
Toyota,Land Cruiser,2018,202701,1.0,Manual,Hatchback,Electric,Brown,3,44672.78
Nissan,X-Trail,2014,1537,1.4,Manual,SUV,Hybrid,Blue,3,49030.27
Mercedes,GLE,2006,89846,3.0,CVT,Coupe,Petrol,Black,3,46026.8
Audi,A4,2009,20104,1.0,Manual,Wagon,Electric,Black,2,49298.16
Kia,Rio,2017,152472,5.0,Automatic,Hatchback,Petrol,Green,2,41482.4
Toyota,Land Cruiser,2006,197327,2.7,Automatic,SUV,Hybrid,Black,3,27796.54
Nissan,Patrol,2005,288172,2.5,Automatic,Hatchback,Hybrid,Grey,3,27571.92
Toyota,Land Cruiser,2019,184100,2.2,Robot,Hatchback,Electric,Blue,3,39769.02
Audi,Q5,2012,140319,1.0,Automatic,SUV,Diesel,Black,5,37469.93
Kia,Cerato,2001,258109,1.4,Automatic,Wagon,Petrol,Silver,2,17520.42
Ford,Kuga,2022,115158,2.4,Automatic,Coupe,Diesel,White,5,47130.13
Honda,Accord,2012,214637,1.6,Automatic,Hatchback,Electric,Black,5,30562.43
Hyundai,Tucson,2001,145693,2.0,CVT,SUV,Petrol,Silver,3,28368.26
Volkswagen,Tiguan,2016,43723,1.0,Robot,Hatchback,Hybrid,Green,3,47171.1
Nissan,Teana,2020,264291,2.2,Robot,Wagon,Diesel,Blue,4,28825.19
Hyundai,Elantra,2014,124232,1.4,Robot,Sedan,Hybrid,Blue,4,35586.75
Hyundai,Tucson,2022,258970,2.2,Robot,Hatchback,Hybrid,Red,4,39236.84
Ford,Focus,2000,286674,1.6,CVT,Sedan,Hybrid,Brown,4,22319.54
Ford,Mondeo,2011,152647,1.6,Automatic,Wagon,Petrol,Blue,2,24647.75
Toyota,RAV4,2022,218976,2.7,Automatic,Hatchback,Petrol,Red,3,35666.82
Ford,Focus,2015,196544,1.0,Automatic,Hatchback,Petrol,Red,3,30988.6
Nissan,Almera,2022,202821,4.0,Automatic,Hatchback,Hybrid,Grey,4,49227.7
Volkswagen,Tiguan,2022,95335,1.2,Manual,Coupe,Petrol,White,3,41004.33
Mercedes,E-Class,2012,258789,1.4,CVT,Hatchback,Electric,Silver,3,43605.26
Ford,Focus,2018,150737,2.0,Manual,Wagon,Electric,Blue,4,47722.76
Audi,A4,2017,57676,2.4,Automatic,Coupe,Petrol,Brown,5,46067.25
Hyundai,Tucson,2021,295267,2.7,CVT,Hatchback,Diesel,Blue,4,35877.42
Nissan,Almera,2010,104143,2.5,Manual,SUV,Diesel,Brown,4,40166.02
Honda,Accord,2018,7961,3.5,CVT,Hatchback,Diesel,Brown,2,56428.5
Volkswagen,Tiguan,2020,94968,1.0,Manual,SUV,Diesel,Silver,3,46571.19
Ford,Focus,2016,199294,2.7,Robot,Hatchback,Electric,Silver,5,38228.24
Volkswagen,Tiguan,2004,136260,1.4,CVT,Sedan,Diesel,Brown,4,29368.6
Toyota,RAV4,2013,5796,1.4,Robot,Wagon,Hybrid,Silver,4,50720.96
BMW,5 Series,2006,110100,2.5,Manual,Wagon,Petrol,Blue,2,33617.66
Mercedes,GLC,2005,200065,2.4,Robot,Hatchback,Diesel,White,2,32179.24
Audi,A4,2018,217912,1.4,CVT,Wagon,Diesel,Blue,3,43134.2
Volkswagen,Tiguan,2012,275381,1.4,Robot,Coupe,Electric,Green,2,42703.97
Hyundai,Santa Fe,2017,236403,3.0,Manual,Coupe,Diesel,Green,2,36042.3
Hyundai,Santa Fe,2014,112113,2.0,Robot,Hatchback,Petrol,Grey,4,35799.87
Toyota,RAV4,2004,159912,2.5,Robot,Hatchback,Petrol,Black,4,27232.12
Mercedes,E-Class,2004,151611,2.0,Robot,SUV,Electric,Black,3,48888.59
Toyota,Corolla,2020,24976,2.0,Manual,SUV,Petrol,Black,3,50345.87
Mercedes,E-Class,2018,269670,2.2,Manual,Hatchback,Hybrid,Red,3,45361.38
Kia,Rio,2021,79888,1.4,CVT,SUV,Electric,Blue,3,49515.93
Mercedes,C-Class,2003,254793,2.5,Robot,Coupe,Hybrid,Silver,5,35361.08
Toyota,Land Cruiser,2006,107791,1.4,Automatic,Wagon,Hybrid,White,2,29191.91
Honda,CR-V,2003,154607,1.0,Robot,Sedan,Diesel,Brown,4,21119.16
Audi,A4,2005,92115,1.8,CVT,Sedan,Hybrid,White,2,43665.37
Volkswagen,Golf,2001,224174,5.0,Manual,Hatchback,Petrol,Red,3,27816.26
Nissan,X-Trail,2023,89402,5.0,Manual,Hatchback,Electric,White,3,66501.62
Hyundai,Santa Fe,2015,144407,3.5,CVT,SUV,Petrol,Silver,5,41613.38
BMW,X5,2007,140179,1.8,Automatic,SUV,Diesel,Blue,5,42357.5
BMW,X3,2010,118558,1.0,Robot,Wagon,Diesel,Green,4,35369.65
Audi,A4,2014,119324,1.2,CVT,Hatchback,Electric,Black,5,42833.77
Mercedes,GLE,2021,292441,1.4,CVT,Wagon,Electric,Black,4,45872.82
Honda,CR-V,2017,20365,1.8,Automatic,SUV,Petrol,Silver,4,49607.86
BMW,3 Series,2006,177229,2.2,Robot,SUV,Hybrid,White,2,39776.35
Mercedes,GLE,2017,279702,3.5,Manual,Wagon,Electric,Red,5,62434.75
Kia,Rio,2018,77924,1.6,Automatic,Hatchback,Petrol,Brown,4,36079.37
Honda,Accord,2021,2765,1.4,Robot,Wagon,Electric,Blue,3,47945.54
Honda,CR-V,2022,265116,1.0,Robot,Wagon,Diesel,Grey,3,36091.89
BMW,X5,2005,188644,2.2,Robot,Hatchback,Electric,Green,4,39750.73
Volkswagen,Passat,2023,147776,1.2,Robot,Wagon,Petrol,Silver,5,39627.84
Nissan,X-Trail,2019,128041,3.0,CVT,Hatchback,Diesel,Black,5,46735.68
Hyundai,Santa Fe,2009,117996,1.6,Robot,Wagon,Hybrid,Grey,2,33614.24
Hyundai,Tucson,2014,222489,2.4,Manual,Hatchback,Hybrid,Green,5,32648.46
Ford,Mondeo,2006,140749,1.6,Automatic,Wagon,Diesel,Black,5,31212.87
Audi,Q5,2011,257758,5.0,Automatic,Hatchback,Electric,Silver,5,40125.07
Hyundai,Tucson,2022,224006,2.0,Manual,Hatchback,Diesel,Silver,3,26484.21
Kia,Sorento,2012,245993,2.4,Robot,Wagon,Petrol,Silver,4,28325.81
Ford,Kuga,2015,63079,2.5,CVT,Wagon,Hybrid,Silver,4,47906.27
Toyota,Land Cruiser,2009,136213,1.4,Manual,Sedan,Diesel,Silver,5,32483.83
Honda,Accord,2005,23290,2.2,Robot,Coupe,Hybrid,Red,3,51694.38
Ford,Focus,2021,276923,1.0,CVT,Wagon,Hybrid,Brown,2,41213.56
BMW,X5,2000,154099,1.0,Automatic,Coupe,Petrol,Red,5,26306.34
Hyundai,Tucson,2002,181446,5.0,Manual,Wagon,Diesel,White,4,32550.71
Ford,Mondeo,2023,98273,4.0,Automatic,SUV,Electric,Brown,4,70935.84
Volkswagen,Touareg,2021,29092,2.7,Robot,Hatchback,Electric,Green,5,58242.21
Toyota,Corolla,2014,124277,3.5,Manual,Sedan,Electric,White,2,39486.26
Audi,A6,2005,261879,1.4,Manual,Coupe,Petrol,Grey,2,29400.99
Hyundai,Elantra,2008,262512,2.4,CVT,SUV,Electric,Black,2,31265.09
Audi,A6,2013,101735,1.0,Robot,Wagon,Petrol,Red,5,36010.78
Hyundai,Tucson,2012,97459,5.0,Automatic,SUV,Hybrid,Grey,5,51384.99
Hyundai,Solaris,2006,74123,2.0,Robot,SUV,Hybrid,Green,3,38926.26
Nissan,Patrol,2008,161100,2.0,CVT,Wagon,Petrol,Brown,5,26809.6
Honda,CR-V,2014,246222,1.0,Robot,Hatchback,Electric,Blue,2,28310.04
Ford,Mondeo,2012,141932,5.0,Manual,Hatchback,Hybrid,Red,2,47879.43
BMW,X3,2014,85990,2.0,Automatic,SUV,Diesel,Blue,4,44743.29
Audi,Q5,2017,139861,4.0,Robot,Sedan,Electric,Silver,2,56527.28
Hyundai,Tucson,2009,286076,1.0,Robot,SUV,Diesel,Blue,3,21889.99
Mercedes,GLE,2016,246991,1.4,Robot,Coupe,Petrol,White,5,37473.65
Ford,Focus,2014,258632,2.0,Automatic,Wagon,Electric,White,4,35623.13
Honda,CR-V,2005,290218,1.5,CVT,Hatchback,Diesel,Brown,3,22130.98
Hyundai,Solaris,2019,58453,5.0,CVT,Hatchback,Electric,White,5,56786.89
Audi,Q7,2005,47098,1.5,Manual,Sedan,Diesel,Silver,2,33039.38
Hyundai,Tucson,2019,68274,4.0,CVT,Coupe,Diesel,Black,4,52721.9
Volkswagen,Touareg,2000,12062,2.7,Automatic,Wagon,Diesel,Black,4,46614.65
Volkswagen,Golf,2002,207866,1.8,Robot,Hatchback,Petrol,Grey,5,19958.21
Toyota,RAV4,2009,243554,1.5,Robot,Hatchback,Petrol,Grey,4,25373.52
Nissan,X-Trail,2005,279365,2.7,Manual,Hatchback,Electric,Blue,2,35362.76
Hyundai,Santa Fe,2021,179412,2.2,CVT,SUV,Diesel,Blue,4,43095.64
Hyundai,Santa Fe,2017,275375,2.7,CVT,Sedan,Petrol,Grey,2,33431.13
Nissan,X-Trail,2013,215862,1.0,Manual,Wagon,Petrol,Blue,5,24745.64
Nissan,Almera,2006,184087,2.7,Manual,Wagon,Hybrid,Green,5,30876.96
Mercedes,GLE,2012,99862,1.4,Automatic,Coupe,Hybrid,Brown,5,53689.61
Ford,Kuga,2010,157217,2.0,Robot,SUV,Petrol,Black,2,35037.69
Ford,Focus,2004,110160,1.6,Robot,Wagon,Hybrid,Green,3,34760.04
Kia,Cerato,2010,195543,1.8,Manual,Hatchback,Hybrid,White,4,28623.99
BMW,5 Series,2010,277354,2.0,Automatic,SUV,Electric,Black,3,43827.36
Kia,Rio,2000,117265,2.5,Robot,SUV,Petrol,White,2,23667.98
Audi,Q7,2000,163522,1.2,Manual,SUV,Petrol,Green,3,25703.29
Kia,Cerato,2022,241540,1.5,Robot,Wagon,Petrol,Blue,3,29809.71
Audi,Q5,2022,22995,1.0,Automatic,Wagon,Petrol,Blue,3,54261.92
Mercedes,C-Class,2007,10514,1.0,Automatic,Wagon,Diesel,Black,3,44803.8
Toyota,RAV4,2012,94937,3.5,CVT,Sedan,Electric,Red,5,53433.44
Toyota,Camry,2002,21182,4.0,Robot,Wagon,Electric,Blue,4,54763.16
Toyota,Land Cruiser,2016,134484,2.4,CVT,Wagon,Electric,Silver,2,40754.85
Volkswagen,Touareg,2023,10794,2.0,CVT,SUV,Diesel,White,2,57446.3
Audi,A6,2000,174469,1.2,Automatic,Sedan,Electric,White,2,27713.4
Hyundai,Santa Fe,2005,54213,1.8,CVT,Hatchback,Petrol,Grey,3,30246.12
Mercedes,E-Class,2011,282533,2.7,Robot,Hatchback,Diesel,Green,4,33450.44
Toyota,Corolla,2017,26751,5.0,CVT,Coupe,Petrol,Black,5,54165.22
Honda,Accord,2014,288514,2.7,CVT,SUV,Electric,Green,4,46555.06
Nissan,Teana,2014,111672,1.2,Automatic,Hatchback,Diesel,Grey,2,33747.19
Hyundai,Elantra,2007,238634,2.5,CVT,Hatchback,Petrol,Silver,2,20178.92
Honda,Civic,2019,286268,2.0,Manual,Wagon,Hybrid,Grey,3,45926.29
Mercedes,E-Class,2000,296221,4.0,Manual,Wagon,Petrol,Silver,5,32330.62
Hyundai,Solaris,2023,180645,4.0,Manual,Sedan,Hybrid,Silver,4,54822.41
Audi,A4,2021,129065,3.0,Manual,SUV,Hybrid,Grey,3,53926.21
Nissan,Teana,2009,165279,2.5,CVT,Sedan,Electric,Blue,3,40295.57
Nissan,Teana,2016,197277,2.2,CVT,Wagon,Hybrid,White,3,41446.03
Kia,Sorento,2020,144338,1.5,Robot,Coupe,Electric,White,2,44902.19
Volkswagen,Passat,2011,19622,2.4,Automatic,SUV,Electric,Red,4,50389.81
Toyota,RAV4,2004,262630,1.4,Automatic,Coupe,Petrol,White,5,19305.49
Nissan,Teana,2007,8572,1.0,Automatic,Wagon,Electric,Black,4,42125.0
Mercedes,C-Class,2003,253516,2.4,Manual,Hatchback,Petrol,Silver,5,30145.22
Honda,Civic,2018,246984,3.0,CVT,Sedan,Hybrid,Blue,3,34317.06
Volkswagen,Touareg,2008,290006,2.0,Robot,Wagon,Petrol,Silver,2,24093.97
Volkswagen,Tiguan,2001,265406,2.4,Robot,Coupe,Petrol,White,4,21504.32
Honda,Civic,2013,60148,5.0,Robot,Hatchback,Electric,Brown,2,56231.08
Mercedes,E-Class,2015,249301,3.0,Robot,SUV,Electric,Red,3,46512.84
Toyota,RAV4,2020,26382,1.5,Robot,Coupe,Electric,Black,4,56949.02
Kia,Cerato,2013,35169,2.0,Manual,Hatchback,Diesel,Grey,2,42578.78
Toyota,Land Cruiser,2022,256620,2.7,Manual,Sedan,Diesel,Blue,3,37520.94
Nissan,Patrol,2002,55612,2.7,Robot,Sedan,Hybrid,White,3,38988.02
Honda,Civic,2005,294366,1.0,CVT,Wagon,Electric,White,3,30404.74
Audi,A4,2003,37941,2.5,Manual,SUV,Petrol,Red,4,46833.74
Honda,Accord,2001,91679,2.5,Robot,Wagon,Petrol,Blue,5,30758.83
Honda,Civic,2014,219188,3.0,Robot,Hatchback,Diesel,Blue,3,30331.29
Audi,Q5,2019,141203,1.6,Automatic,Sedan,Diesel,Black,3,43341.0
Nissan,Teana,2008,254829,1.4,CVT,Hatchback,Hybrid,Grey,2,25204.59
Nissan,X-Trail,2015,18706,3.5,CVT,Sedan,Diesel,Green,2,50907.11
Kia,Sorento,2010,231110,2.5,Robot,Sedan,Hybrid,Green,3,30211.72
Kia,Cerato,2001,297103,2.4,Robot,Coupe,Hybrid,White,2,24372.94
Audi,Q7,2021,4922,2.4,Robot,Hatchback,Diesel,Brown,3,53226.78
Kia,Rio,2008,213321,2.0,Robot,SUV,Diesel,Black,4,31432.14
Volkswagen,Touareg,2012,277392,1.4,Automatic,SUV,Petrol,White,4,34679.2
Honda,Civic,2021,273438,2.5,Robot,Hatchback,Diesel,Brown,3,36978.04
Kia,Sportage,2018,278235,2.2,CVT,SUV,Hybrid,Grey,4,35532.76
BMW,3 Series,2020,13450,1.5,CVT,Coupe,Hybrid,Red,4,54443.91
Mercedes,GLE,2003,290458,3.0,Robot,Wagon,Electric,Brown,4,40144.66
Mercedes,GLC,2012,219516,2.4,Robot,Wagon,Petrol,Blue,5,31192.8
Nissan,Teana,2009,61260,2.0,Robot,Hatchback,Hybrid,Brown,4,37629.04
Audi,A6,2009,148348,1.5,CVT,Sedan,Petrol,Brown,3,33820.34
Honda,Civic,2010,70658,3.5,Robot,Wagon,Electric,Red,5,40237.44
Toyota,RAV4,2021,263456,4.0,CVT,Wagon,Hybrid,Black,4,43111.82
Ford,Mondeo,2000,297789,5.0,CVT,Wagon,Diesel,Red,5,28133.64
Volkswagen,Touareg,2010,64222,4.0,Manual,Wagon,Diesel,Brown,2,42238.86
BMW,5 Series,2021,229408,2.2,Manual,Sedan,Diesel,White,4,41679.86
Mercedes,C-Class,2014,27328,1.8,CVT,Wagon,Diesel,Green,2,56498.65
Honda,CR-V,2009,167984,2.0,CVT,Sedan,Hybrid,White,4,27790.94
BMW,3 Series,2023,168206,1.4,CVT,Coupe,Hybrid,Grey,3,43388.5
Mercedes,C-Class,2002,69672,2.0,Automatic,Hatchback,Hybrid,Green,4,39789.06
BMW,X5,2019,70864,1.8,Robot,Sedan,Diesel,Green,4,53536.43
Kia,Rio,2007,238188,5.0,CVT,Wagon,Diesel,Grey,2,31556.78
Kia,Rio,2011,114634,3.0,Automatic,Hatchback,Diesel,Grey,5,39566.9
Audi,Q5,2019,129560,3.0,Manual,Sedan,Hybrid,Brown,2,60672.18
Toyota,Camry,2000,94488,2.7,Robot,Coupe,Petrol,White,4,27794.17
BMW,X3,2008,216669,1.2,Robot,Sedan,Diesel,Red,3,30596.05
Hyundai,Tucson,2022,208270,1.4,Robot,Hatchback,Diesel,Silver,3,36666.95
BMW,X3,2016,275419,2.0,Robot,Coupe,Diesel,Blue,2,41083.47
Ford,Kuga,2019,119502,3.5,Robot,Hatchback,Electric,Silver,5,56483.41
Hyundai,Tucson,2021,140302,2.5,Manual,SUV,Electric,White,5,50245.73
Nissan,X-Trail,2004,1789,3.5,Automatic,Sedan,Diesel,Brown,5,49325.54
Audi,A6,2011,207925,1.5,CVT,Hatchback,Petrol,Black,3,30141.26
Audi,Q5,2002,201002,5.0,Manual,Wagon,Petrol,Brown,5,37957.29
Mercedes,GLC,2008,241382,2.5,Manual,Wagon,Hybrid,Green,2,38762.91
Hyundai,Tucson,2000,112143,1.8,Manual,Sedan,Diesel,Black,4,22817.36
Honda,CR-V,2017,228953,2.2,Automatic,Hatchback,Hybrid,White,2,42162.41
Nissan,X-Trail,2002,24544,1.6,Robot,Wagon,Diesel,Brown,2,36734.13
BMW,X3,2023,279301,4.0,Manual,Coupe,Petrol,Brown,5,44287.54
Audi,A6,2001,27213,1.4,CVT,Wagon,Petrol,Blue,5,38562.03
Honda,Accord,2017,295515,3.5,CVT,SUV,Petrol,Brown,4,35827.88
Nissan,Patrol,2012,221970,1.6,CVT,Hatchback,Hybrid,Brown,3,31893.43
Hyundai,Elantra,2011,293219,2.5,Manual,Sedan,Electric,Grey,2,38818.94
Nissan,Almera,2002,167022,1.2,Manual,Sedan,Petrol,Red,3,21618.95
Hyundai,Tucson,2017,214709,1.0,Manual,SUV,Hybrid,Grey,2,35902.24
Volkswagen,Passat,2018,80857,2.0,Automatic,Sedan,Petrol,Silver,3,36738.62
Audi,Q5,2006,248018,5.0,Robot,Hatchback,Hybrid,Brown,3,40034.59
Hyundai,Elantra,2005,82600,1.5,CVT,SUV,Petrol,White,2,29858.12
Mercedes,GLC,2014,131832,5.0,Automatic,Coupe,Hybrid,Grey,2,58150.57
Toyota,Camry,2023,78097,2.7,Robot,Sedan,Petrol,Green,5,54138.39
Nissan,Almera,2002,114614,4.0,Automatic,Sedan,Hybrid,Black,5,43564.57
Audi,A6,2006,261401,1.0,Robot,Wagon,Petrol,White,2,27931.15
Honda,Accord,2021,20874,2.5,CVT,Sedan,Electric,Brown,4,54391.11
Toyota,Camry,2005,151756,1.8,Robot,Coupe,Hybrid,Silver,3,35483.2
Mercedes,E-Class,2014,61305,1.6,Automatic,Wagon,Electric,Black,5,53599.97
Honda,Civic,2020,228748,1.0,Manual,Sedan,Diesel,White,3,31737.44
Toyota,Corolla,2008,179357,2.4,Manual,Sedan,Hybrid,Brown,2,34106.11
Volkswagen,Golf,2000,295583,2.5,Automatic,SUV,Petrol,Silver,5,24256.31
Honda,Accord,2008,34743,1.0,Robot,Wagon,Petrol,White,2,32041.48
Mercedes,C-Class,2017,294957,2.5,CVT,Sedan,Electric,Silver,4,53289.22
Mercedes,E-Class,2023,64591,4.0,Automatic,Sedan,Electric,Brown,2,69961.58
Kia,Sorento,2014,73309,1.4,CVT,Hatchback,Petrol,Black,4,30073.59
Kia,Sportage,2012,259252,3.5,Automatic,Coupe,Diesel,Brown,4,39061.89
Ford,Kuga,2016,12780,2.7,Automatic,SUV,Petrol,Red,3,50620.68
Audi,Q5,2015,177946,1.6,Automatic,Sedan,Hybrid,Grey,5,36681.91
Mercedes,GLC,2016,188057,1.8,CVT,Hatchback,Hybrid,Brown,5,43821.95
Toyota,Land Cruiser,2003,139152,2.2,Automatic,Coupe,Petrol,White,2,24882.82
Honda,Accord,2011,38314,4.0,Automatic,Coupe,Petrol,White,4,46594.44
Hyundai,Tucson,2019,45708,1.4,CVT,Sedan,Hybrid,Blue,3,56770.92
Toyota,Camry,2015,155146,1.0,Automatic,Coupe,Electric,Red,3,42779.43
Audi,Q5,2015,98066,1.0,CVT,Hatchback,Diesel,Silver,2,45519.58
Ford,Mondeo,2021,129789,1.6,CVT,Wagon,Hybrid,Grey,4,37432.08
Nissan,Patrol,2022,56888,1.0,CVT,Hatchback,Electric,Green,2,54498.47
Audi,Q7,2017,271530,1.5,CVT,Coupe,Petrol,Grey,5,35550.1
Nissan,Patrol,2007,35790,1.6,Robot,Hatchback,Electric,Blue,5,32828.76
Toyota,Land Cruiser,2002,240201,5.0,Automatic,Hatchback,Petrol,Silver,5,27118.32
Audi,A6,2011,233984,1.4,CVT,Coupe,Hybrid,Blue,2,35049.51
Nissan,Teana,2003,96496,4.0,Automatic,SUV,Petrol,Red,5,36206.98
BMW,X3,2020,170646,1.5,Manual,Coupe,Hybrid,Green,2,47215.83
Volkswagen,Touareg,2010,14318,2.0,Robot,SUV,Petrol,Grey,2,49269.65
Volkswagen,Tiguan,2013,40077,3.0,Robot,Sedan,Petrol,Red,2,46933.49
Ford,Focus,2000,142108,1.6,Automatic,Sedan,Electric,Red,2,30651.32
Mercedes,E-Class,2023,3770,1.2,Robot,Hatchback,Petrol,Grey,4,41431.6
Toyota,Camry,2000,170231,1.6,Robot,SUV,Petrol,Grey,4,22807.3
Hyundai,Tucson,2021,96748,3.5,CVT,Wagon,Diesel,Brown,5,48464.87
Toyota,Land Cruiser,2007,135091,1.5,Automatic,Coupe,Petrol,White,2,36231.46
Volkswagen,Passat,2000,162357,2.5,Manual,Sedan,Electric,Grey,5,33143.29
Mercedes,E-Class,2011,299840,2.5,Manual,SUV,Electric,Silver,3,43055.98
Kia,Cerato,2018,25103,2.2,Automatic,Coupe,Hybrid,Black,2,55927.61
Honda,CR-V,2015,232062,1.6,CVT,Sedan,Hybrid,Red,4,32662.16
Toyota,Land Cruiser,2020,289151,1.5,Robot,Hatchback,Petrol,White,2,32943.94
Nissan,Almera,2005,102488,1.8,Robot,Wagon,Hybrid,Green,4,33798.98
Honda,Accord,2023,47367,1.0,CVT,Coupe,Petrol,White,2,39169.07
Nissan,Patrol,2023,27757,1.4,Manual,Sedan,Hybrid,Green,2,54327.85
Hyundai,Santa Fe,2005,282081,1.4,Robot,Wagon,Electric,Red,2,28511.48
Mercedes,C-Class,2015,53010,1.6,Automatic,Sedan,Petrol,White,4,42077.74
Toyota,Land Cruiser,2012,155855,1.2,Manual,SUV,Petrol,White,5,33924.91
Honda,Civic,2017,50613,3.5,Robot,SUV,Diesel,White,3,50243.32
Audi,Q5,2007,61394,1.2,Automatic,Coupe,Hybrid,White,4,49178.1
Volkswagen,Golf,2006,199092,5.0,Robot,Sedan,Electric,Red,3,36771.06
Mercedes,C-Class,2015,256587,1.0,Manual,SUV,Petrol,Blue,5,35601.67
BMW,X3,2000,29048,1.8,Automatic,Wagon,Petrol,White,3,37724.03
Honda,Civic,2006,249004,1.0,Robot,Hatchback,Diesel,Silver,2,20139.06
Honda,Civic,2022,222345,2.4,Manual,Sedan,Diesel,Green,5,39252.32
Audi,A4,2021,242431,1.0,CVT,Wagon,Petrol,White,5,35099.2
Audi,Q5,2021,289962,3.5,Robot,SUV,Petrol,White,5,49548.32
Mercedes,C-Class,2012,271484,2.4,CVT,Coupe,Petrol,White,3,32715.85
Audi,A6,2009,10532,5.0,Manual,Coupe,Electric,Blue,4,58407.12
Hyundai,Tucson,2017,222071,1.5,Automatic,Hatchback,Hybrid,White,2,30616.63
Hyundai,Tucson,2002,183011,1.4,CVT,SUV,Petrol,Red,4,20058.09
Honda,CR-V,2010,248304,3.0,Automatic,Sedan,Petrol,Black,5,28493.14
Mercedes,GLC,2014,55264,2.4,CVT,SUV,Petrol,Black,5,55048.47
Mercedes,C-Class,2019,41476,1.6,Automatic,SUV,Hybrid,Red,5,69163.99
BMW,X3,2008,123980,4.0,CVT,Wagon,Diesel,Red,3,45513.7
Audi,Q5,2005,285913,1.2,Manual,Coupe,Petrol,Silver,3,23810.89
Volkswagen,Touareg,2001,242735,2.0,CVT,Sedan,Hybrid,Silver,4,24900.97
Hyundai,Elantra,2003,245191,2.4,Automatic,Hatchback,Electric,Green,3,30629.95
BMW,X5,2007,172055,3.0,Manual,Hatchback,Hybrid,Brown,4,50638.6
Honda,Civic,2001,37656,1.5,Robot,Coupe,Diesel,Black,2,31973.24
Mercedes,C-Class,2005,58784,2.5,Manual,Sedan,Petrol,Black,3,37629.85
Honda,CR-V,2015,99596,2.0,CVT,Wagon,Petrol,White,4,32119.76
